customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0034,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.82,273.8,Yes
C0035,Female,0,Yes,Yes,62,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,54.59,3357.8,No
C0036,Male,0,No,Yes,31,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,88.34,2777.7,No
C0037,Female,1,Yes,No,11,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,92.48,922.59,Yes
C0038,Male,0,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),86.79,1330.88,No
C0039,Male,1,Yes,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,78.44,1438.55,No
C0040,Male,0,Yes,No,21,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,88.73,1841.35,No
C0041,Male,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,72.29,71.66,No
C0042,Male,0,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.65,1817.28,No
C0043,Female,0,No,No,18,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.02,1152.93,No
C0044,Female,0,Yes,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.26,1883.86,No
C0045,Female,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),95.04,1793.8,No
C0046,Female,0,No,Yes,11,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,61.01,607.04,No
C0047,Female,1,No,Yes,16,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),97.2,1567.6,No
C0048,Male,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,81.45,2728.1,No
C0049,Female,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,95.16,668.36,Yes
C0050,Female,0,No,Yes,62,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,71.7,4478.68,No
C0051,Male,0,No,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.63,329.21,No
C0052,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,87.19,5459.91,Yes
C0053,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,91.26,3943.6,No
C0054,Female,1,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),95.14,2716.19,Yes
C0055,Male,0,No,Yes,12,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.94,779.73,Yes
C0056,Female,0,Yes,No,17,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.54,1146.4,No
C0057,Female,0,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),76.33,2779.76,No
C0058,Male,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),34.59,524.81,No
C0059,Male,0,No,No,26,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.5,1640.16,No
C0060,Male,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,96.61,2988.25,No
C0061,Male,0,Yes,Yes,14,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,69.41,967.9,Yes
C0062,Male,0,Yes,No,15,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,63.45,963.68,Yes
C0063,Male,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),68.65,334.87,No
C0064,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.5,39.64,No
C0065,Male,0,Yes,No,47,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.38,3385.56,No
C0066,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Electronic check,60.1,2127.13,No
C0067,Female,0,No,No,0,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,64.61,62.89,Yes
C0068,Male,1,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),77.31,3061.31,No
C0069,Female,1,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),33.9,0.0,No
C0070,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,30.4,381.18,No
C0071,Female,0,No,Yes,1,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.18,65.48,No
C0072,Female,0,No,No,69,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Mailed check,69.84,4805.24,No
C0073,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,101.22,7250.23,No
C0074,Female,1,No,No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64.97,1175.5,Yes
C0075,Male,0,No,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),35.44,320.52,No
C0076,Female,1,Yes,No,14,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,82.39,1072.26,Yes
C0077,Female,1,Yes,No,28,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,88.33,2431.34,No
C0078,Female,0,Yes,No,5,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,59.88,269.81,No
C0079,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,38.96,396.32,Yes
C0080,Female,0,No,No,26,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),75.86,2012.7,No
C0081,Male,1,Yes,No,10,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),75.49,864.84,Yes
C0082,Female,0,No,Yes,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,65.41,0.0,Yes
C0083,Male,1,Yes,Yes,14,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),92.6,1354.22,No
C0084,Female,0,Yes,Yes,26,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,70.04,1928.34,No
C0085,Male,0,No,Yes,72,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,66.6,4730.94,Yes
C0086,Male,1,Yes,No,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,51.32,No
C0087,Female,0,Yes,No,15,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,56.48,921.48,No
C0088,Male,0,Yes,No,11,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,63.9,723.19,Yes
C0089,Female,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),33.02,95.36,Yes
C0090,Female,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.99,526.12,No
C0091,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,80.16,105.93,Yes
C0092,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,88.53,576.95,Yes
C0093,Female,1,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.33,834.97,No
C0094,Female,1,Yes,No,12,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.19,895.34,Yes
C0095,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),79.08,5647.12,No
C0096,Female,0,No,No,9,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),60.05,559.62,No
C0097,Female,0,No,No,12,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),72.38,895.36,No
C0098,Female,0,No,No,7,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,46.34,287.15,No
C0099,Female,1,Yes,Yes,5,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.49,419.14,Yes
C0100,Male,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),30.62,1482.4,No
C0101,Male,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,86.41,2351.33,Yes
C0102,Female,0,No,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,76.44,601.6,Yes
C0103,Female,0,Yes,Yes,24,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),72.28,1736.62,No
C0104,Female,0,Yes,No,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),87.76,5835.55,Yes
C0105,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,101.28,69.77,Yes
C0106,Female,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,79.97,526.93,No
C0107,Female,0,Yes,No,4,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,69.59,322.05,Yes
C0108,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,93.63,3799.56,No
C0109,Female,0,Yes,Yes,3,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,65.41,213.74,No
C0110,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.99,528.18,No
C0111,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,31.6,552.96,No
C0112,Male,0,Yes,Yes,19,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.76,1481.23,No
C0113,Female,0,No,Yes,33,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,44.56,1541.38,Yes
C0114,Female,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,37.23,393.48,No
C0115,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.96,410.53,Yes
C0116,Female,1,No,No,67,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,59.09,3916.3,Yes
C0117,Male,1,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),72.65,489.28,Yes
C0118,Female,0,Yes,No,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,55.11,253.28,Yes
C0119,Female,1,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),96.41,2302.56,No
C0120,Male,0,No,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.76,782.21,No
C0121,Female,0,Yes,No,10,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,68.59,633.75,No
C0122,Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,65.85,281.41,No
C0123,Female,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.14,1240.07,No
C0124,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.87,1711.83,Yes
C0125,Male,0,Yes,Yes,41,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.5,3136.99,No
C0126,Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.04,1014.46,Yes
C0127,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,89.95,298.5,Yes
C0128,Male,0,Yes,No,35,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),59.6,2065.76,Yes
C0129,Female,1,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,81.42,284.79,Yes
C0130,Female,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.55,1697.9,No
C0131,Female,0,No,No,29,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,54.27,1609.33,No
C0132,Male,0,Yes,No,16,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,49.7,800.57,No
C0133,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,72.66,1454.19,Yes
C0134,Male,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.66,0.0,Yes
C0135,Male,0,Yes,No,0,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),75.55,34.72,No
C0136,Male,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64.34,488.34,Yes
C0137,Male,0,Yes,Yes,34,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),46.16,1575.13,No
C0138,Male,0,Yes,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.21,350.68,No
C0139,Male,0,Yes,No,5,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,62.44,321.13,No
C0140,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),86.4,3085.83,No
C0141,Female,0,Yes,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,62.85,385.49,Yes
C0142,Male,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.96,1212.1,Yes
C0143,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),90.34,1129.72,No
C0144,Female,1,No,No,12,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,74.82,914.84,No
C0145,Female,1,Yes,No,6,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),67.27,395.49,Yes
C0146,Male,1,No,No,46,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,54.29,2540.14,No
C0147,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),98.68,144.42,No
C0148,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.08,122.32,Yes
C0149,Male,0,Yes,No,20,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),58.2,1191.83,No
C0150,Female,0,No,No,37,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,91.69,3386.55,No
C0151,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),69.61,159.18,Yes
C0152,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,112.9,2945.06,No
C0153,Male,1,No,No,27,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,70.34,1850.99,Yes
C0154,Male,0,No,No,17,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,62.79,1071.96,No
C0155,Male,1,Yes,No,13,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.32,941.51,No
C0156,Female,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),87.65,579.98,No
C0157,Male,0,Yes,No,8,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,45.29,388.72,Yes
C0158,Female,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.94,638.31,No
C0159,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,81.23,No
C0160,Female,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,39.16,720.19,No
C0161,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.14,103.25,Yes
C0162,Male,0,Yes,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),22.57,251.87,No
C0163,Female,0,No,Yes,16,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,63.49,1027.72,No
C0164,Female,1,No,Yes,43,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),60.79,2643.87,Yes
C0165,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,82.57,1382.78,No
C0166,Male,1,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),100.34,573.08,No
C0167,Female,0,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),30.01,0.0,Yes
C0168,Male,0,No,No,19,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),63.6,1151.31,Yes
C0169,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),79.78,1123.94,No
C0170,Female,0,No,Yes,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,103.35,2203.57,Yes
C0171,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.24,402.12,No
C0172,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,80.13,2812.89,Yes
C0173,Male,0,No,No,50,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),74.33,3705.46,No
C0174,Female,0,Yes,No,0,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,61.16,121.48,No
C0175,Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,34.43,914.58,No
C0176,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),36.54,0.0,Yes
C0177,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),28.41,333.11,No
C0178,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),89.74,1058.2,Yes
C0179,Male,0,No,No,23,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Electronic check,66.61,1580.45,No
C0180,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,73.68,561.25,Yes
C0181,Male,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.74,1171.61,Yes
C0182,Male,0,Yes,Yes,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.09,436.9,No
C0183,Female,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.12,874.0,No
