tenure,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,PhoneService,PaperlessBilling,customerID,Churn,Cluster
12,30.4,381.18,0,,,,,C0070,0,1
1,82.18,65.48,0,,,,,C0071,0,0
69,69.84,4805.24,0,,,,,C0072,0,3
71,101.22,7250.23,0,,,,,C0073,0,3
18,64.97,1175.5,1,,,,,C0074,1,2
9,35.44,320.52,0,,,,,C0075,0,1
14,82.39,1072.26,1,,,,,C0076,1,2
28,88.33,2431.34,1,,,,,C0077,0,2
5,59.88,269.81,0,,,,,C0078,0,0
11,38.96,396.32,0,,,,,C0079,1,1
26,75.86,2012.7,0,,,,,C0080,0,0
10,75.49,864.84,1,,,,,C0081,1,2
0,65.41,0.0,0,,,,,C0082,1,0
14,92.6,1354.22,1,,,,,C0083,0,2
26,70.04,1928.34,0,,,,,C0084,0,0
72,66.6,4730.94,0,,,,,C0085,1,3
0,18.25,51.32,1,,,,,C0086,0,2
15,56.48,921.48,0,,,,,C0087,0,1
11,63.9,723.19,0,,,,,C0088,1,0
5,33.02,95.36,0,,,,,C0089,1,1
20,28.99,526.12,0,,,,,C0090,0,1
3,80.16,105.93,0,,,,,C0091,1,0
6,88.53,576.95,0,,,,,C0092,1,0
30,28.33,834.97,1,,,,,C0093,0,2
12,76.19,895.34,1,,,,,C0094,1,2
72,79.08,5647.12,0,,,,,C0095,0,3
9,60.05,559.62,0,,,,,C0096,0,0
12,72.38,895.36,0,,,,,C0097,0,0
7,46.34,287.15,0,,,,,C0098,0,1
5,86.49,419.14,1,,,,,C0099,1,2
51,30.62,1482.4,0,,,,,C0100,0,1
27,86.41,2351.33,0,,,,,C0101,1,0
8,76.44,601.6,0,,,,,C0102,1,0
24,72.28,1736.62,0,,,,,C0103,0,0
67,87.76,5835.55,0,,,,,C0104,1,3
1,101.28,69.77,0,,,,,C0105,1,0
6,79.97,526.93,0,,,,,C0106,0,0
4,69.59,322.05,0,,,,,C0107,1,0
40,93.63,3799.56,0,,,,,C0108,0,3
3,65.41,213.74,0,,,,,C0109,0,0
7,86.99,528.18,0,,,,,C0110,0,0
15,31.6,552.96,0,,,,,C0111,0,1
19,78.76,1481.23,0,,,,,C0112,0,0
33,44.56,1541.38,0,,,,,C0113,1,1
10,37.23,393.48,0,,,,,C0114,0,1
15,26.96,410.53,0,,,,,C0115,1,1
67,59.09,3916.3,1,,,,,C0116,1,3
7,72.65,489.28,1,,,,,C0117,1,2
5,55.11,253.28,0,,,,,C0118,1,1
24,96.41,2302.56,1,,,,,C0119,0,2
29,24.76,782.21,0,,,,,C0120,0,1
10,68.59,633.75,0,,,,,C0121,0,0
4,65.85,281.41,0,,,,,C0122,0,0
30,39.14,1240.07,0,,,,,C0123,0,1
22,77.87,1711.83,0,,,,,C0124,1,0
41,76.5,3136.99,0,,,,,C0125,0,3
37,28.04,1014.46,0,,,,,C0126,1,1
4,89.95,298.5,0,,,,,C0127,1,0
35,59.6,2065.76,0,,,,,C0128,1,3
3,81.42,284.79,1,,,,,C0129,1,2
39,42.55,1697.9,0,,,,,C0130,0,1
29,54.27,1609.33,0,,,,,C0131,0,1
16,49.7,800.57,0,,,,,C0132,0,1
20,72.66,1454.19,0,,,,,C0133,1,0
2,22.66,0.0,0,,,,,C0134,1,1
0,75.55,34.72,0,,,,,C0135,0,0
8,64.34,488.34,0,,,,,C0136,1,0
34,46.16,1575.13,0,,,,,C0137,0,1
12,27.21,350.68,0,,,,,C0138,0,1
5,62.44,321.13,0,,,,,C0139,0,0
35,86.4,3085.83,0,,,,,C0140,0,3
5,62.85,385.49,0,,,,,C0141,1,0
33,33.96,1212.1,0,,,,,C0142,1,1
12,90.34,1129.72,0,,,,,C0143,0,0
12,74.82,914.84,1,,,,,C0144,0,2
6,67.27,395.49,1,,,,,C0145,1,2
46,54.29,2540.14,1,,,,,C0146,0,2
1,98.68,144.42,0,,,,,C0147,0,0
3,25.08,122.32,0,,,,,C0148,1,1
20,58.2,1191.83,0,,,,,C0149,0,0
37,91.69,3386.55,0,,,,,C0150,0,3
2,69.61,159.18,0,,,,,C0151,1,0
26,112.9,2945.06,0,,,,,C0152,0,3
27,70.34,1850.99,1,,,,,C0153,1,2
17,62.79,1071.96,0,,,,,C0154,0,0
13,79.32,941.51,1,,,,,C0155,0,2
7,87.65,579.98,0,,,,,C0156,0,0
8,45.29,388.72,0,,,,,C0157,1,1
22,31.94,638.31,0,,,,,C0158,0,1
1,18.25,81.23,0,,,,,C0159,0,1
17,39.16,720.19,0,,,,,C0160,0,1
6,22.14,103.25,0,,,,,C0161,1,1
12,22.57,251.87,0,,,,,C0162,0,1
16,63.49,1027.72,0,,,,,C0163,0,0
43,60.79,2643.87,1,,,,,C0164,1,2
17,82.57,1382.78,0,,,,,C0165,0,0
5,100.34,573.08,1,,,,,C0166,0,2
1,30.01,0.0,0,,,,,C0167,1,1
19,63.6,1151.31,0,,,,,C0168,1,0
15,79.78,1123.94,0,,,,,C0169,0,0
22,103.35,2203.57,0,,,,,C0170,1,0
12,31.24,402.12,0,,,,,C0171,0,1
34,80.13,2812.89,0,,,,,C0172,1,3
50,74.33,3705.46,0,,,,,C0173,0,3
0,61.16,121.48,0,,,,,C0174,0,0
27,34.43,914.58,0,,,,,C0175,0,1
0,36.54,0.0,0,,,,,C0176,1,1
11,28.41,333.11,0,,,,,C0177,0,1
12,89.74,1058.2,0,,,,,C0178,1,0
23,66.61,1580.45,0,,,,,C0179,0,0
8,73.68,561.25,0,,,,,C0180,1,0
34,32.74,1171.61,0,,,,,C0181,1,1
8,52.09,436.9,0,,,,,C0182,0,1
8,103.12,874.0,0,,,,,C0183,0,0
5,72.47,371.95,0,,,,,C0184,0,0
23,60.75,1373.68,0,,,,,C0185,0,0
1,80.02,58.76,0,,,,,C0186,1,0
9,81.86,798.48,1,,,,,C0187,1,2
6,62.03,335.55,0,,,,,C0188,1,0
5,58.64,257.52,0,,,,,C0189,1,0
1,36.87,93.37,0,,,,,C0190,1,1
4,30.31,77.55,0,,,,,C0191,0,1
11,66.43,707.53,0,,,,,C0192,1,0
14,54.22,740.74,0,,,,,C0193,1,1
6,78.61,485.15,0,,,,,C0194,1,0
21,94.67,1929.49,0,,,,,C0195,1,0
8,58.67,512.6,0,,,,,C0196,0,0
9,85.76,781.8,0,,,,,C0197,1,0
30,90.09,2752.92,1,,,,,C0198,1,2
16,81.02,1281.9,0,,,,,C0199,0,0
61,34.62,2127.23,1,,,,,C0200,1,2
8,79.72,621.66,0,,,,,C0201,1,0
35,71.19,2541.74,1,,,,,C0202,1,2
26,96.82,2496.95,1,,,,,C0203,0,2
44,90.72,4047.63,0,,,,,C0204,0,3
62,35.87,2180.56,0,,,,,C0205,0,3
0,86.29,16.5,0,,,,,C0206,1,0
1,77.66,49.73,0,,,,,C0207,0,0
22,82.91,1777.81,0,,,,,C0208,0,0
9,77.98,728.7,0,,,,,C0209,1,0
34,105.07,3493.87,0,,,,,C0210,0,3
0,110.82,0.0,0,,,,,C0211,1,0
32,79.21,2529.8,1,,,,,C0212,0,2
2,23.43,5.24,0,,,,,C0213,0,1
6,72.8,437.64,0,,,,,C0214,1,0
69,85.42,5776.28,0,,,,,C0215,0,3
1,56.28,20.14,1,,,,,C0216,0,2
8,99.33,836.32,0,,,,,C0217,0,0
1,86.1,140.79,0,,,,,C0218,1,0
38,75.64,2778.34,0,,,,,C0219,1,3
24,94.62,2261.49,0,,,,,C0220,0,0
32,74.83,2451.26,0,,,,,C0221,0,3
14,52.04,664.91,1,,,,,C0222,1,2
8,31.68,341.64,0,,,,,C0223,1,1
0,33.75,0.0,0,,,,,C0224,0,1
6,31.59,191.55,1,,,,,C0225,1,2
14,43.06,668.1,0,,,,,C0226,0,1
21,75.53,1554.7,0,,,,,C0227,0,0
5,73.91,369.15,1,,,,,C0228,1,2
2,30.18,77.52,0,,,,,C0229,1,1
4,41.47,180.34,0,,,,,C0230,1,1
8,52.9,409.7,0,,,,,C0231,0,1
3,89.68,233.02,0,,,,,C0232,0,0
3,85.28,226.62,0,,,,,C0233,0,0
0,37.41,0.0,0,,,,,C0234,0,1
38,73.79,2749.96,0,,,,,C0235,0,3
4,68.46,239.32,1,,,,,C0236,1,2
34,87.3,2990.25,0,,,,,C0237,0,3
11,79.83,800.99,1,,,,,C0238,1,2
20,80.04,1578.23,0,,,,,C0239,0,0
1,83.93,55.99,0,,,,,C0240,1,0
17,34.46,579.28,0,,,,,C0241,0,1
6,83.58,467.48,0,,,,,C0242,1,0
2,62.34,115.71,0,,,,,C0243,1,0
47,22.02,992.71,1,,,,,C0244,1,2
18,74.92,1330.23,0,,,,,C0245,1,0
5,19.92,62.97,0,,,,,C0246,1,1
10,59.9,620.88,0,,,,,C0247,0,0
8,22.2,237.02,0,,,,,C0248,1,1
24,21.68,598.34,0,,,,,C0249,0,1
18,74.81,1268.05,0,,,,,C0250,0,0
0,89.1,28.43,0,,,,,C0251,0,0
4,69.81,274.3,0,,,,,C0252,1,0
13,84.96,1110.69,0,,,,,C0253,0,0
11,90.55,1065.04,0,,,,,C0254,0,0
14,24.45,301.86,0,,,,,C0255,0,1
25,61.72,1569.44,1,,,,,C0256,0,2
22,75.21,1586.84,0,,,,,C0257,0,0
9,72.42,672.59,0,,,,,C0258,1,0
42,75.62,3263.93,0,,,,,C0259,1,3
1,25.94,79.43,0,,,,,C0260,1,1
17,92.6,1541.33,1,,,,,C0261,1,2
59,58.62,3446.49,0,,,,,C0262,0,3
15,68.69,1012.53,0,,,,,C0263,0,0
12,72.8,842.55,0,,,,,C0264,0,0
2,99.89,89.23,0,,,,,C0265,1,0
33,50.16,1600.92,0,,,,,C0266,0,1
9,37.86,294.21,0,,,,,C0267,1,1
24,78.31,1896.66,0,,,,,C0268,1,0
4,39.39,131.86,0,,,,,C0269,1,1
0,58.04,17.99,0,,,,,C0270,0,0
7,23.78,213.52,1,,,,,C0271,1,2
6,35.38,274.38,0,,,,,C0272,1,1
41,20.56,804.39,0,,,,,C0273,0,1
40,26.1,1100.43,0,,,,,C0274,0,1
15,63.73,866.78,1,,,,,C0275,1,2
0,66.55,0.0,0,,,,,C0276,0,0
5,83.73,513.75,1,,,,,C0277,1,2
20,23.04,476.23,0,,,,,C0278,1,1
2,76.29,169.72,0,,,,,C0279,0,0
24,22.31,581.9,0,,,,,C0280,1,1
0,68.05,37.81,0,,,,,C0281,1,0
22,68.89,1485.6,0,,,,,C0282,0,0
37,74.03,2765.37,0,,,,,C0283,0,3
12,62.52,761.25,0,,,,,C0284,0,0
35,62.57,2117.75,0,,,,,C0285,0,3
30,69.7,2134.98,0,,,,,C0286,0,0
22,72.91,1520.31,0,,,,,C0287,0,0
11,94.96,956.91,0,,,,,C0288,1,0
6,106.79,627.11,0,,,,,C0289,0,0
39,36.78,1412.34,0,,,,,C0290,0,1
20,88.89,1874.14,0,,,,,C0291,1,0
31,104.85,3182.47,1,,,,,C0292,1,2
16,34.27,529.51,0,,,,,C0293,1,1
3,59.12,212.73,0,,,,,C0294,1,0
72,74.27,5295.95,0,,,,,C0295,0,3
4,31.87,93.41,1,,,,,C0296,1,2
48,64.71,3146.45,0,,,,,C0297,0,3
4,61.25,309.61,0,,,,,C0298,0,0
9,95.07,948.18,1,,,,,C0299,1,2
11,87.66,900.18,0,,,,,C0300,1,0
50,67.55,3323.78,0,,,,,C0301,1,3
43,74.53,3115.68,0,,,,,C0302,0,3
34,94.02,3253.6,0,,,,,C0303,0,3
9,41.37,424.52,0,,,,,C0304,0,1
0,71.4,0.0,0,,,,,C0305,0,0
22,74.72,1687.43,0,,,,,C0306,0,0
10,67.25,728.51,1,,,,,C0307,1,2
28,107.32,3004.58,0,,,,,C0308,0,3
31,60.9,1945.84,0,,,,,C0309,1,0
11,113.05,1273.87,0,,,,,C0310,1,0
27,90.14,2410.87,0,,,,,C0311,0,0
36,77.61,2781.48,0,,,,,C0312,0,3
52,20.39,988.88,0,,,,,C0313,0,1
17,52.32,964.48,0,,,,,C0314,1,1
30,86.83,2578.13,0,,,,,C0315,0,3
13,83.27,1135.75,0,,,,,C0316,0,0
0,83.06,37.1,0,,,,,C0317,0,0
3,62.87,149.13,0,,,,,C0318,0,0
2,52.2,108.97,0,,,,,C0319,1,1
3,27.59,7.54,0,,,,,C0320,0,1
0,69.93,29.16,1,,,,,C0321,1,2
39,81.71,3137.41,0,,,,,C0322,0,3
16,30.82,484.65,0,,,,,C0323,0,1
9,84.54,747.45,0,,,,,C0324,1,0
10,28.59,215.69,0,,,,,C0325,1,1
12,71.98,814.31,0,,,,,C0326,0,0
1,113.25,180.83,1,,,,,C0327,1,2
6,61.46,450.33,1,,,,,C0328,1,2
38,93.7,3500.23,0,,,,,C0329,1,3
27,76.58,2055.82,0,,,,,C0330,0,0
16,89.19,1418.01,0,,,,,C0331,1,0
13,74.03,945.05,0,,,,,C0332,1,0
5,61.48,343.58,0,,,,,C0333,1,0
12,83.94,1065.67,0,,,,,C0334,0,0
18,66.57,1171.98,0,,,,,C0335,0,0
24,88.41,2150.37,0,,,,,C0336,0,0
3,70.45,188.68,0,,,,,C0337,0,0
33,64.29,2181.82,1,,,,,C0338,1,2
8,64.99,551.89,0,,,,,C0339,1,0
13,83.57,1048.71,0,,,,,C0340,1,0
18,70.09,1262.84,0,,,,,C0341,1,0
13,79.8,996.07,1,,,,,C0342,0,2
16,19.54,366.99,1,,,,,C0343,0,2
2,87.03,136.84,0,,,,,C0344,1,0
11,44.4,501.17,0,,,,,C0345,1,1
6,102.26,570.01,0,,,,,C0346,1,0
1,93.2,116.42,0,,,,,C0347,1,0
4,94.38,353.46,0,,,,,C0348,1,0
18,72.51,1252.12,0,,,,,C0349,0,0
4,86.21,337.16,0,,,,,C0350,1,0
3,35.99,133.14,0,,,,,C0351,1,1
16,61.03,920.8,0,,,,,C0352,0,0
47,78.1,3623.04,1,,,,,C0353,1,3
31,80.91,2534.0,0,,,,,C0354,0,3
47,86.87,4094.8,0,,,,,C0355,0,3
17,92.36,1652.47,0,,,,,C0356,1,0
10,84.61,755.5,0,,,,,C0357,1,0
26,69.7,1821.24,0,,,,,C0358,0,0
6,84.39,574.52,0,,,,,C0359,1,0
1,84.2,146.93,1,,,,,C0360,0,2
8,91.74,778.14,0,,,,,C0361,0,0
7,75.97,516.94,0,,,,,C0362,1,0
22,83.7,1868.14,0,,,,,C0363,0,0
16,64.44,1021.23,0,,,,,C0364,0,0
2,65.07,32.3,0,,,,,C0365,0,0
47,92.44,4311.34,0,,,,,C0366,0,3
17,73.23,1272.8,0,,,,,C0367,1,0
12,83.7,1042.6,0,,,,,C0368,0,0
55,72.7,4019.93,0,,,,,C0369,1,3
2,22.33,0.0,0,,,,,C0370,1,1
31,65.76,2045.82,0,,,,,C0371,1,0
9,32.11,314.27,0,,,,,C0372,0,1
23,30.87,637.23,0,,,,,C0373,1,1
53,86.46,4641.96,0,,,,,C0374,0,3
14,101.21,1452.25,1,,,,,C0375,1,2
0,87.63,0.0,0,,,,,C0376,0,0
0,77.2,0.0,0,,,,,C0377,1,0
8,89.87,651.67,1,,,,,C0378,0,2
30,31.04,959.16,0,,,,,C0379,0,1
6,106.04,604.08,0,,,,,C0380,1,0
8,30.02,222.45,0,,,,,C0381,1,1
30,30.45,910.27,0,,,,,C0382,0,1
2,67.24,0.0,0,,,,,C0383,0,0
37,89.67,3345.13,0,,,,,C0384,0,3
6,87.24,622.29,0,,,,,C0385,0,0
1,32.57,62.09,0,,,,,C0386,1,1
2,53.08,88.15,1,,,,,C0387,1,2
60,105.43,6389.62,0,,,,,C0388,1,3
12,94.48,1082.8,1,,,,,C0389,0,2
5,76.09,350.15,0,,,,,C0390,0,0
14,55.34,791.3,0,,,,,C0391,0,1
22,29.94,536.79,0,,,,,C0392,0,1
7,97.25,728.6,0,,,,,C0393,1,0
25,94.74,2355.29,0,,,,,C0394,0,0
5,85.57,474.77,0,,,,,C0395,0,0
2,76.96,169.53,0,,,,,C0396,1,0
15,27.54,440.28,1,,,,,C0397,1,2
3,54.53,226.93,0,,,,,C0398,1,1
56,38.2,2155.31,0,,,,,C0399,0,3
0,79.9,23.26,0,,,,,C0400,0,0
28,34.29,915.27,0,,,,,C0401,0,1
6,83.92,528.2,0,,,,,C0402,1,0
37,74.4,2721.39,0,,,,,C0403,0,3
1,99.31,120.19,0,,,,,C0404,0,0
61,70.36,4258.68,1,,,,,C0405,1,3
2,74.4,161.32,0,,,,,C0406,0,0
31,79.84,2458.58,0,,,,,C0407,0,3
14,69.9,967.54,0,,,,,C0408,0,0
11,35.58,332.24,0,,,,,C0409,1,1
6,88.33,550.02,0,,,,,C0410,0,0
36,34.87,1285.94,0,,,,,C0411,0,1
4,94.16,396.37,1,,,,,C0412,1,2
25,96.83,2466.59,0,,,,,C0413,1,0
11,61.59,600.27,0,,,,,C0414,1,0
72,83.06,5920.8,1,,,,,C0415,1,3
18,83.06,1485.71,0,,,,,C0416,1,0
2,34.21,11.88,0,,,,,C0417,0,1
10,71.53,725.99,0,,,,,C0418,0,0
1,78.63,94.52,0,,,,,C0419,1,0
6,86.64,463.37,0,,,,,C0420,1,0
8,98.75,823.35,0,,,,,C0421,1,0
38,78.66,3026.46,0,,,,,C0422,0,3
36,86.15,3093.16,0,,,,,C0423,1,3
0,34.49,0.0,0,,,,,C0424,0,1
15,38.69,593.59,0,,,,,C0425,0,1
5,90.99,539.02,0,,,,,C0426,1,0
7,32.12,259.81,0,,,,,C0427,0,1
0,39.47,0.0,0,,,,,C0428,1,1
27,90.79,2448.7,0,,,,,C0429,0,0
60,88.2,5305.59,0,,,,,C0430,0,3
4,87.39,344.38,1,,,,,C0431,0,2
8,70.03,577.91,0,,,,,C0432,1,0
4,100.21,441.94,0,,,,,C0433,1,0
53,94.94,5193.19,0,,,,,C0434,1,3
0,81.27,0.0,0,,,,,C0435,1,0
17,36.49,620.94,0,,,,,C0436,0,1
40,85.04,3487.44,1,,,,,C0437,0,2
4,88.23,250.66,0,,,,,C0438,0,0
17,91.42,1569.05,0,,,,,C0439,0,0
1,59.23,20.8,0,,,,,C0440,1,0
33,63.25,2145.51,1,,,,,C0441,1,2
6,60.48,378.91,0,,,,,C0442,1,0
72,79.34,5735.2,1,,,,,C0443,0,3
51,79.5,4187.34,0,,,,,C0444,1,3
26,66.03,1683.86,0,,,,,C0445,0,0
13,90.84,1180.66,0,,,,,C0446,1,0
29,72.27,2130.46,0,,,,,C0447,0,0
2,68.94,105.84,0,,,,,C0448,1,0
7,102.59,746.11,0,,,,,C0449,1,0
0,82.7,0.0,0,,,,,C0450,1,0
20,97.54,1930.97,0,,,,,C0451,1,0
32,77.43,2510.39,0,,,,,C0452,0,3
58,56.35,3259.8,0,,,,,C0453,0,3
23,45.08,1041.16,0,,,,,C0454,0,1
26,89.3,2382.17,0,,,,,C0455,0,0
45,42.77,1946.58,0,,,,,C0456,0,1
55,113.04,6228.65,0,,,,,C0457,1,3
13,81.35,1092.12,0,,,,,C0458,1,0
2,31.71,74.13,0,,,,,C0459,1,1
12,18.25,74.46,0,,,,,C0460,1,1
16,75.81,1141.64,0,,,,,C0461,0,0
19,67.73,1303.68,0,,,,,C0462,0,0
72,86.71,6261.45,0,,,,,C0463,1,3
49,68.33,3430.68,0,,,,,C0464,0,3
10,32.98,314.14,0,,,,,C0465,0,1
2,91.33,78.85,0,,,,,C0466,0,0
4,74.71,304.36,0,,,,,C0467,1,0
3,68.51,293.53,0,,,,,C0468,1,0
8,65.81,492.49,0,,,,,C0469,0,0
41,83.81,3400.17,0,,,,,C0470,1,3
11,106.41,1145.23,0,,,,,C0471,0,0
16,59.89,980.55,0,,,,,C0472,1,0
3,31.92,81.11,1,,,,,C0473,0,2
13,90.25,1095.01,0,,,,,C0474,1,0
41,39.36,1661.55,0,,,,,C0475,0,1
29,69.06,2056.54,0,,,,,C0476,0,0
1,28.42,45.62,0,,,,,C0477,1,1
39,89.73,3437.83,0,,,,,C0478,0,3
6,36.57,200.29,0,,,,,C0479,1,1
21,83.45,1795.01,0,,,,,C0480,0,0
3,63.65,147.44,0,,,,,C0481,0,0
22,65.83,1409.99,1,,,,,C0482,1,2
0,30.08,0.0,0,,,,,C0483,0,1
18,95.3,1725.18,0,,,,,C0484,1,0
20,59.58,1228.64,0,,,,,C0485,0,0
5,87.06,445.05,0,,,,,C0486,1,0
55,75.93,4163.1,0,,,,,C0487,0,3
0,32.45,0.0,0,,,,,C0488,1,1
44,100.96,4364.74,0,,,,,C0489,0,3
9,61.92,620.87,0,,,,,C0490,1,0
25,57.34,1466.63,0,,,,,C0491,1,1
21,98.94,2061.66,0,,,,,C0492,0,0
3,35.6,63.99,0,,,,,C0493,0,1
7,80.12,523.53,1,,,,,C0494,0,2
15,82.13,1216.84,0,,,,,C0495,0,0
37,87.35,3293.44,0,,,,,C0496,1,3
61,97.03,5851.27,0,,,,,C0497,1,3
0,35.76,0.0,0,,,,,C0498,1,1
8,64.91,475.22,0,,,,,C0499,1,0
22,66.04,1473.4,0,,,,,C0500,1,0
15,73.97,1101.5,1,,,,,C0501,1,2
57,93.22,5291.79,0,,,,,C0502,0,3
0,82.13,16.66,0,,,,,C0503,1,0
11,81.06,816.09,0,,,,,C0504,1,0
22,74.62,1616.37,0,,,,,C0505,0,0
4,84.07,330.23,0,,,,,C0506,1,0
25,58.48,1358.17,0,,,,,C0507,0,0
1,73.39,112.71,0,,,,,C0508,1,0
11,89.66,1003.87,0,,,,,C0509,1,0
22,18.25,391.48,0,,,,,C0510,0,1
6,66.32,362.94,1,,,,,C0511,0,2
1,59.9,149.35,0,,,,,C0512,1,0
62,54.97,3456.87,0,,,,,C0513,0,3
49,82.24,3958.17,0,,,,,C0514,1,3
52,101.47,5224.44,0,,,,,C0515,0,3
72,86.04,6087.78,0,,,,,C0516,0,3
4,85.41,316.74,0,,,,,C0517,1,0
3,76.74,181.81,0,,,,,C0518,1,0
0,69.7,18.94,0,,,,,C0519,0,0
44,95.52,4243.39,0,,,,,C0520,0,3
27,74.35,1957.78,1,,,,,C0521,0,2
20,91.6,1837.42,0,,,,,C0522,1,0
52,30.84,1573.23,0,,,,,C0523,0,1
17,71.87,1288.61,0,,,,,C0524,0,0
2,70.83,122.13,0,,,,,C0525,0,0
3,94.26,316.3,0,,,,,C0526,0,0
2,102.0,199.36,0,,,,,C0527,1,0
7,55.46,427.05,0,,,,,C0528,0,1
9,55.4,472.75,0,,,,,C0529,1,1
31,98.45,3041.83,0,,,,,C0530,0,3
4,31.7,103.67,0,,,,,C0531,0,1
25,28.1,708.23,0,,,,,C0532,1,1
13,41.76,582.8,0,,,,,C0533,0,1
72,96.78,6978.6,0,,,,,C0534,1,3
29,73.41,2128.61,0,,,,,C0535,0,0
69,49.76,3376.17,0,,,,,C0536,0,3
8,61.98,460.47,0,,,,,C0537,1,0
2,81.35,132.54,0,,,,,C0538,1,0
14,99.12,1429.49,0,,,,,C0539,0,0
2,81.41,166.37,0,,,,,C0540,1,0
13,77.81,989.21,0,,,,,C0541,0,0
6,76.99,450.67,0,,,,,C0542,1,0
13,64.6,831.66,0,,,,,C0543,0,0
59,86.15,5038.83,0,,,,,C0544,1,3
6,72.46,423.8,0,,,,,C0545,1,0
72,61.15,4398.3,0,,,,,C0546,0,3
5,67.93,293.96,0,,,,,C0547,1,0
4,29.12,121.36,1,,,,,C0548,1,2
15,99.21,1434.82,0,,,,,C0549,1,0
36,89.25,3162.2,0,,,,,C0550,1,3
27,83.76,2300.99,1,,,,,C0551,0,2
25,27.21,640.59,1,,,,,C0552,0,2
6,64.08,420.11,0,,,,,C0553,1,0
0,20.28,0.0,0,,,,,C0554,1,1
3,96.16,320.73,0,,,,,C0555,1,0
8,39.38,250.91,0,,,,,C0556,0,1
71,26.01,1880.54,0,,,,,C0557,0,3
50,91.32,4521.58,0,,,,,C0558,1,3
4,68.86,197.4,0,,,,,C0559,0,0
25,105.09,2587.22,1,,,,,C0560,0,2
17,40.09,675.94,0,,,,,C0561,0,1
1,83.47,26.18,0,,,,,C0562,1,0
9,35.48,326.26,0,,,,,C0563,1,1
13,82.9,1050.85,0,,,,,C0564,0,0
22,28.4,612.48,0,,,,,C0565,0,1
6,85.99,498.47,0,,,,,C0566,0,0
54,83.35,4445.11,0,,,,,C0567,0,3
